Make,Model,Engine Size(L),Fuel Type,Fuel Consumption Comb (mpg),CO2 Emissions
JAGUAR,XJL SUPERCHARGED,5,E,16,280
JAGUAR,XJR,5,Z,21,306
JAGUAR,XJR LWB,5,Z,21,306
JAGUAR,XK CONVERTIBLE,5,Z,22,301
JAGUAR,XK COUPE,5,Z,22,290
JAGUAR,XKR CONVERTIBLE,5,Z,21,315
JAGUAR,XKR COUPE,5,Z,21,310
JAGUAR,XKR-S CONVERTIBLE,5,Z,21,315
JAGUAR,XKR-S COUPE,5,Z,21,310
JEEP,CHEROKEE,2.4,X,30,218
JEEP,CHEROKEE,3.2,X,27,242
JEEP,CHEROKEE 4X4,2.4,X,28,230
JEEP,CHEROKEE 4X4,3.2,X,26,248
JEEP,CHEROKEE 4X4 ACTIVE DRIVE II,2.4,X,28,232
JEEP,CHEROKEE 4X4 ACTIVE DRIVE II,3.2,X,26,253
JEEP,CHEROKEE TRAILHAWK 4X4,2.4,X,26,251
JEEP,CHEROKEE TRAILHAWK 4X4,3.2,X,24,267
JEEP,COMPASS,2,X,29,228
JEEP,COMPASS,2,X,29,225
JEEP,COMPASS,2,X,31,209
JEEP,COMPASS,2.4,X,29,225
JEEP,COMPASS,2.4,X,30,216
JEEP,COMPASS 4X4,2.4,X,28,235
JEEP,COMPASS 4X4,2.4,X,30,216
JEEP,COMPASS 4X4 TRAIL RATED,2.4,X,25,255
JEEP,GRAND CHEROKEE 4X4 (MDS),5.7,X,19,340
JEEP,GRAND CHEROKEE 4X4 DIESEL,3,D,29,267
JEEP,GRAND CHEROKEE 4X4 FFV,3.6,X,23,278
JEEP,GRAND CHEROKEE 4X4 FFV,3.6,E,18,250
JEEP,GRAND CHEROKEE SRT 4X4 (MDS),6.4,Z,18,363
JEEP,PATRIOT,2,X,29,228
JEEP,PATRIOT,2,X,29,225
JEEP,PATRIOT,2,X,31,209
JEEP,PATRIOT,2.4,X,29,225
JEEP,PATRIOT,2.4,X,30,216
JEEP,PATRIOT 4X4,2.4,X,28,235
JEEP,PATRIOT 4X4,2.4,X,30,216
JEEP,PATRIOT 4X4 TRAIL RATED,2.4,X,25,255
JEEP,WRANGLER 4X4 (2-DOOR),3.6,X,22,294
JEEP,WRANGLER 4X4 (2-DOOR),3.6,X,22,294
JEEP,WRANGLER UNLIMITED 4X4 (4-DOOR),3.6,X,21,308
JEEP,WRANGLER UNLIMITED 4X4 (4-DOOR),3.6,X,21,308
KIA,CADENZA,3.3,X,26,251
KIA,FORTE,1.8,X,34,191
KIA,FORTE,1.8,X,35,184
KIA,FORTE,2,X,34,193
KIA,FORTE,2,X,34,193
KIA,FORTE 5,1.6,X,29,223
KIA,FORTE 5,1.6,X,29,225
KIA,FORTE 5,2,X,34,193
KIA,FORTE 5,2,X,33,196
KIA,FORTE KOUP,1.6,X,30,216
KIA,FORTE KOUP,1.6,X,29,221
KIA,FORTE KOUP,2,X,34,193
KIA,FORTE KOUP,2,X,33,198
KIA,OPTIMA,2,X,29,228
KIA,OPTIMA,2.4,X,32,200
KIA,OPTIMA HYBRID,2.4,X,46,143
KIA,OPTIMA HYBRID EX,2.4,X,44,147
KIA,RIO,1.6,X,37,175
KIA,RIO,1.6,X,37,177
KIA,RIO ECO,1.6,X,37,175
KIA,RONDO,2,X,31,212
KIA,RONDO,2,X,30,214
KIA,SEDONA,3.5,X,24,276
KIA,SORENTO,2.4,X,27,237
KIA,SORENTO,3.3,X,25,262
KIA,SORENTO 4WD,2.4,X,26,253
KIA,SORENTO 4WD,3.3,X,24,271
KIA,SOUL,1.6,X,32,205
KIA,SOUL,1.6,X,31,207
KIA,SOUL,2,X,31,209
KIA,SOUL ECO Dynamics,2,X,32,202
KIA,SPORTAGE,2.4,X,28,230
KIA,SPORTAGE,2.4,X,25,260
KIA,SPORTAGE AWD,2,X,25,262
KIA,SPORTAGE AWD,2.4,X,26,246
LAMBORGHINI,AVENTADOR COUPE,6.5,Z,15,421
LAMBORGHINI,GALLARDO COUPE,5.2,Z,18,361
LAMBORGHINI,GALLARDO COUPE,5.2,Z,16,400
LAND ROVER,LR2,2,Z,24,274
LAND ROVER,LR4,3,Z,19,334
LAND ROVER,RANGE ROVER EVOQUE,2,Z,29,225
LAND ROVER,RANGE ROVER EVOQUE COUPE,2,Z,29,225
LAND ROVER,RANGE ROVER LWB V8 5.0 SC,5,Z,18,354
LAND ROVER,RANGE ROVER LWB V8 5.0 SC FFV,5,Z,19,347
LAND ROVER,RANGE ROVER LWB V8 5.0 SC FFV,5,E,13,342
LAND ROVER,RANGE ROVER SPORT V6 3.0 SC,3,Z,23,285
LAND ROVER,RANGE ROVER SPORT V6 3.0 SC FFV,3,Z,23,285
LAND ROVER,RANGE ROVER SPORT V6 3.0 SC FFV,3,E,16,278
LAND ROVER,RANGE ROVER SPORT V8 5.0 SC,5,Z,19,345
LAND ROVER,RANGE ROVER SPORT V8 5.0 SC FFV,5,Z,19,338
LAND ROVER,RANGE ROVER SPORT V8 5.0 SC FFV,5,E,14,331
LAND ROVER,RANGE ROVER V6 3.0 SC,3,Z,23,283
LAND ROVER,RANGE ROVER V6 3.0 SC FFV,3,Z,23,283
LAND ROVER,RANGE ROVER V6 3.0 SC FFV,3,E,16,277
LAND ROVER,RANGE ROVER V8 5.0 SC,5,Z,18,354
LAND ROVER,RANGE ROVER V8 5.0 SC FFV,5,Z,19,347
LAND ROVER,RANGE ROVER V8 5.0 SC FFV,5,E,13,342
LEXUS,CT 200h,1.8,X,50,129
LEXUS,ES 300h,2.5,X,47,138
LEXUS,ES 350,3.5,X,29,221
LEXUS,GS 350,3.5,Z,27,239
LEXUS,GS 350 AWD,3.5,Z,26,253
LEXUS,GS 450h,3.5,Z,37,175
LEXUS,GX 460,4.6,Z,20,320
LEXUS,IS 250,2.5,Z,29,223
LEXUS,IS 250 AWD,2.5,Z,27,239
LEXUS,IS 250 C,2.5,Z,29,223
LEXUS,IS 350,3.5,Z,27,244
LEXUS,IS 350 AWD,3.5,Z,26,253
LEXUS,IS 350 C,3.5,Z,27,244
LEXUS,IS F,5,Z,22,290
LEXUS,LS 460,4.6,Z,23,283
LEXUS,LS 460 AWD,4.6,Z,22,297
LEXUS,LS 460 L AWD,4.6,Z,22,297
LEXUS,LS 600h L,5,Z,25,262
LEXUS,LX 570,5.7,Z,17,380
LEXUS,RX 350 AWD,3.5,X,24,269
LEXUS,RX 350 AWD,3.5,X,25,255
LEXUS,RX 450h AWD,3.5,Z,34,189
LINCOLN,MKS AWD,3.5,X,24,271
LINCOLN,MKS AWD,3.7,X,25,260
LINCOLN,MKT AWD,3.5,X,22,294
LINCOLN,MKT LIVERY,2,X,28,235
LINCOLN,MKT LIVERY AWD,3.7,X,23,281
LINCOLN,MKX AWD,3.7,X,23,281
LINCOLN,MKZ,2,X,31,207
LINCOLN,MKZ AWD,3.7,X,25,262
LINCOLN,MKZ HYBRID,2,X,45,145
LINCOLN,NAVIGATOR 4X4 FFV,5.4,X,18,368
LINCOLN,NAVIGATOR 4X4 FFV,5.4,E,13,346
MASERATI,GHIBLI,3,Z,22,292
MASERATI,GHIBLI AWD,3,Z,22,292
MASERATI,GRANTURISMO,4.7,Z,19,347
MASERATI,GRANTURISMO CONVERTIBLE,4.7,Z,18,352
MASERATI,QUATTROPORTE GTS,3.8,Z,19,334
MASERATI,QUATTROPORTE SQ4,3,Z,22,301
MAZDA,CX-5,2,X,34,189
MAZDA,CX-5,2,X,35,184
MAZDA,CX-5,2.5,X,33,198
MAZDA,CX-5 4WD,2,X,33,196
MAZDA,CX-5 4WD,2.5,X,32,205
MAZDA,CX-9,3.7,X,23,283
MAZDA,CX-9 4WD,3.7,X,22,290
MAZDA,MAZDA2,1.5,X,37,177
MAZDA,MAZDA2,1.5,X,38,170
MAZDA,MAZDA3 4-DOOR,2,X,41,159
MAZDA,MAZDA3 4-DOOR,2,X,40,161
MAZDA,MAZDA3 4-DOOR,2.5,X,38,170
MAZDA,MAZDA3 4-DOOR (i-ELOOP),2.5,X,39,168
MAZDA,MAZDA3 4-DOOR (SIL),2,X,40,161
MAZDA,MAZDA3 5-DOOR,2,X,40,163
MAZDA,MAZDA3 5-DOOR,2,X,39,166
MAZDA,MAZDA3 5-DOOR,2.5,X,37,177
MAZDA,MAZDA3 5-DOOR (i-ELOOP),2.5,X,39,168
MAZDA,MAZDA3 5-DOOR (SIL),2,X,39,166
MAZDA,MAZDA5,2.5,X,29,223
MAZDA,MAZDA5,2.5,X,29,225
MAZDA,MAZDA6,2.5,X,37,175
MAZDA,MAZDA6,2.5,X,35,186
MAZDA,MAZDA6 (i-ELOOP),2.5,X,39,168
MAZDA,MX-5,2,Z,28,235
MAZDA,MX-5,2,Z,29,221
MAZDA,MX-5,2,Z,29,228
MERCEDES-BENZ,B 250,2,Z,35,184
MERCEDES-BENZ,C 250,1.8,Z,30,216
MERCEDES-BENZ,C 250 COUPE,1.8,Z,30,216
MERCEDES-BENZ,C 300 4MATIC FFV,3.5,Z,27,242
MERCEDES-BENZ,C 300 4MATIC FFV,3.5,E,20,224
MERCEDES-BENZ,C 350,3.5,Z,27,242
MERCEDES-BENZ,C 350 4MATIC,3.5,Z,27,239
MERCEDES-BENZ,C 350 4MATIC COUPE,3.5,Z,27,244
MERCEDES-BENZ,C 350 COUPE,3.5,Z,27,242
MERCEDES-BENZ,C 63 AMG,6.2,Z,19,347
MERCEDES-BENZ,C 63 AMG COUPE,6.2,Z,18,352
MERCEDES-BENZ,CL 550 4MATIC,4.7,Z,21,304
MERCEDES-BENZ,CL 63 AMG,5.5,Z,21,308
MERCEDES-BENZ,CLA 250,2,Z,36,179
MERCEDES-BENZ,CLA 45 AMG 4MATIC,2,Z,31,212
MERCEDES-BENZ,CLS 550 4MATIC,4.7,Z,25,264
MERCEDES-BENZ,CLS 63 AMG 4MATIC,5.5,Z,22,301
MERCEDES-BENZ,CLS 63 AMG S 4MATIC,5.5,Z,22,301
MERCEDES-BENZ,E 250 BLUETEC 4MATIC,2.1,D,39,194
MERCEDES-BENZ,E 300 4MATIC,3.5,Z,28,235
MERCEDES-BENZ,E 350 4MATIC,3.5,Z,28,230
MERCEDES-BENZ,E 350 4MATIC COUPE,3.5,Z,27,239
MERCEDES-BENZ,E 350 4MATIC WAGON,3.5,Z,27,242
MERCEDES-BENZ,E 350 CABRIOLET,3.5,Z,27,239
MERCEDES-BENZ,E 350 COUPE,3.5,Z,28,235
MERCEDES-BENZ,E 400 HYBRID,3.5,Z,32,202
MERCEDES-BENZ,E 550 4MATIC,4.7,Z,24,267
MERCEDES-BENZ,E 550 CABRIOLET,4.7,Z,24,269
MERCEDES-BENZ,E 550 COUPE,4.7,Z,25,262
MERCEDES-BENZ,E 63 AMG 4MATIC,5.5,Z,22,297
MERCEDES-BENZ,E 63 AMG 4MATIC WAGON,5.5,Z,21,310
MERCEDES-BENZ,E 63 AMG S 4MATIC,5.5,Z,22,297
MERCEDES-BENZ,E 63 AMG S 4MATIC WAGON,5.5,Z,21,310
MERCEDES-BENZ,G 550,5.5,Z,16,419
MERCEDES-BENZ,G 63 AMG,5.5,Z,16,407
MERCEDES-BENZ,GL 350 BLUETEC 4MATIC,3,D,24,324
MERCEDES-BENZ,GL 450 4MATIC,4.7,Z,19,350
MERCEDES-BENZ,GL 550 4MATIC,4.7,Z,18,359
MERCEDES-BENZ,GL 63 AMG,5.5,Z,18,363
MERCEDES-BENZ,GLK 250 BLUETEC 4MATIC,2.1,D,33,230
MERCEDES-BENZ,GLK 350 4MATIC,3.5,Z,25,260
MERCEDES-BENZ,ML 350 4MATIC FFV,3.5,Z,23,278
MERCEDES-BENZ,ML 350 4MATIC FFV,3.5,E,18,256
MERCEDES-BENZ,ML 350 BLUETEC 4MATIC,3,D,27,278
MERCEDES-BENZ,ML 550 4MATIC,4.7,Z,20,327
MERCEDES-BENZ,ML 63 AMG 4MATIC,5.5,Z,18,356
MERCEDES-BENZ,S 550 4MATIC LWB,4.7,Z,23,278
MERCEDES-BENZ,S 550 4MATIC SWB,4.7,Z,24,276
MERCEDES-BENZ,S 63 AMG 4MATIC,5.5,Z,21,304
MERCEDES-BENZ,SL 550,4.7,Z,24,269
MERCEDES-BENZ,SL 63 AMG,5.5,Z,22,292
MERCEDES-BENZ,SL 65 AMG,6,Z,20,327
MERCEDES-BENZ,SLK 250,1.8,Z,32,205
MERCEDES-BENZ,SLK 250,1.8,Z,31,207
MERCEDES-BENZ,SLK 350,3.5,Z,29,225
MERCEDES-BENZ,SLK 55 AMG,5.5,Z,26,246
MERCEDES-BENZ,SLS AMG BLACK SERIES COUPE,6.2,Z,17,380
MERCEDES-BENZ,SLS AMG GT COUPE,6.2,Z,18,361
MERCEDES-BENZ,SLS AMG ROADSTER,6.2,Z,18,361
MINI,COOPER CLUBMAN,1.6,Z,36,179
MINI,COOPER CLUBMAN,1.6,Z,36,179
MINI,COOPER CONVERTIBLE,1.6,Z,36,179
MINI,COOPER CONVERTIBLE,1.6,Z,36,179
MINI,COOPER COUNTRYMAN,1.6,Z,32,200
MINI,COOPER COUNTRYMAN,1.6,Z,36,179
MINI,COOPER COUPE,1.6,Z,37,175
MINI,COOPER COUPE,1.6,Z,39,168
MINI,COOPER PACEMAN,1.6,Z,32,200
MINI,COOPER PACEMAN,1.6,Z,36,179
MINI,COOPER ROADSTER,1.6,Z,36,179
MINI,COOPER ROADSTER,1.6,Z,36,179
MINI,COOPER S CLUBMAN,1.6,Z,34,191
MINI,COOPER S CLUBMAN,1.6,Z,35,184
MINI,COOPER S CONVERTIBLE,1.6,Z,34,191
MINI,COOPER S CONVERTIBLE,1.6,Z,35,184
MINI,COOPER S COUNTRYMAN ALL4,1.6,Z,31,207
MINI,COOPER S COUNTRYMAN ALL4,1.6,Z,33,196
MINI,COOPER S COUPE,1.6,Z,34,191
MINI,COOPER S COUPE,1.6,Z,35,184
MINI,COOPER S PACEMAN ALL4,1.6,Z,31,207
MINI,COOPER S PACEMAN ALL4,1.6,Z,33,196
MINI,COOPER S ROADSTER,1.6,Z,34,191
MINI,COOPER S ROADSTER,1.6,Z,35,184
MINI,JOHN COOPER WORKS CLUBMAN,1.6,Z,34,191
MINI,JOHN COOPER WORKS CLUBMAN,1.6,Z,35,184
MINI,JOHN COOPER WORKS CONVERTIBLE,1.6,Z,34,191
MINI,JOHN COOPER WORKS CONVERTIBLE,1.6,Z,35,184
MINI,JOHN COOPER WORKS COUNTRYMAN ALL4,1.6,Z,31,207
MINI,JOHN COOPER WORKS COUNTRYMAN ALL4,1.6,Z,33,196
MINI,JOHN COOPER WORKS COUPE,1.6,Z,34,191
MINI,JOHN COOPER WORKS COUPE,1.6,Z,35,184
MINI,JOHN COOPER WORKS PACEMAN ALL4,1.6,Z,31,207
MINI,JOHN COOPER WORKS PACEMAN ALL4,1.6,Z,33,196
MINI,JOHN COOPER WORKS ROADSTER,1.6,Z,34,191
MINI,JOHN COOPER WORKS ROADSTER,1.6,Z,35,184
MITSUBISHI,LANCER,2,X,34,189
MITSUBISHI,LANCER,2,X,34,191
MITSUBISHI,LANCER AWD,2.4,X,30,218
MITSUBISHI,LANCER EVOLUTION,2,Z,23,288
MITSUBISHI,LANCER EVOLUTION,2,Z,23,283
MITSUBISHI,LANCER RALLIART,2,Z,24,267
MITSUBISHI,LANCER SPORTBACK,2,X,33,198
MITSUBISHI,LANCER SPORTBACK,2,X,33,198
MITSUBISHI,MIRAGE,1.2,X,47,138
MITSUBISHI,MIRAGE,1.2,X,44,147
MITSUBISHI,OUTLANDER,2.4,X,33,198
MITSUBISHI,OUTLANDER 4WD,2.4,X,31,209
MITSUBISHI,OUTLANDER 4WD,3,Z,28,235
MITSUBISHI,RVR,2,X,32,200
MITSUBISHI,RVR,2,X,32,202
MITSUBISHI,RVR 4WD,2,X,31,207
NISSAN,370Z,3.7,Z,26,253
NISSAN,370Z,3.7,Z,25,264
NISSAN,370Z ROADSTER,3.7,Z,25,262
NISSAN,370Z ROADSTER,3.7,Z,24,269
NISSAN,ALTIMA,2.5,X,37,175
NISSAN,ALTIMA,3.5,X,30,214
NISSAN,ARMADA 4WD,5.6,X,17,380
NISSAN,FRONTIER,2.5,X,23,283
NISSAN,FRONTIER,2.5,X,25,260
NISSAN,FRONTIER,4,X,22,292
NISSAN,FRONTIER 4WD,4,X,21,315
NISSAN,FRONTIER 4WD,4,X,22,301
NISSAN,GT-R,3.8,Z,22,297
NISSAN,JUKE,1.6,Z,35,186
NISSAN,JUKE,1.6,Z,33,198
NISSAN,JUKE AWD,1.6,Z,32,200
NISSAN,MAXIMA,3.5,Z,26,251
NISSAN,MURANO AWD,3.5,X,24,271
NISSAN,NV200 CARGO VAN,2,X,30,214
NISSAN,PATHFINDER,3.5,X,27,244
NISSAN,PATHFINDER 4WD,3.5,X,26,253
NISSAN,PATHFINDER HYBRID 4WD,2.5,X,32,202
NISSAN,QUEST,3.5,X,25,255
NISSAN,ROGUE,2.5,X,34,191
NISSAN,ROGUE AWD,2.5,X,33,198
NISSAN,SENTRA,1.8,X,40,161
NISSAN,SENTRA,1.8,X,36,179
NISSAN,TITAN,5.6,X,18,359
NISSAN,TITAN 4WD,5.6,X,16,398
NISSAN,VERSA,1.6,X,43,152
NISSAN,VERSA,1.6,X,37,177
NISSAN,XTERRA 4WD,4,X,20,327
NISSAN,XTERRA 4WD,4,X,21,315
PORSCHE,911 CARRERA,3.4,Z,28,232
PORSCHE,911 CARRERA,3.4,Z,26,246
PORSCHE,911 CARRERA 4,3.4,Z,27,237
PORSCHE,911 CARRERA 4,3.4,Z,26,246
PORSCHE,911 CARRERA 4 CABRIOLET,3.4,Z,27,242
PORSCHE,911 CARRERA 4 CABRIOLET,3.4,Z,26,253
PORSCHE,911 CARRERA 4S,3.8,Z,26,248
PORSCHE,911 CARRERA 4S,3.8,Z,26,253
PORSCHE,911 CARRERA 4S CABRIOLET,3.8,Z,26,253
PORSCHE,911 CARRERA 4S CABRIOLET,3.8,Z,25,258
PORSCHE,911 CARRERA CABRIOLET,3.4,Z,28,232
PORSCHE,911 CARRERA CABRIOLET,3.4,Z,26,246
PORSCHE,911 CARRERA S,3.8,Z,27,244
PORSCHE,911 CARRERA S,3.8,Z,26,248
PORSCHE,911 CARRERA S CABRIOLET,3.8,Z,26,246
PORSCHE,911 CARRERA S CABRIOLET,3.8,Z,26,251
PORSCHE,911 GT3,3.8,Z,20,322
PORSCHE,911 TURBO,3.8,Z,24,274
PORSCHE,911 TURBO CABRIOLET,3.8,Z,24,274
PORSCHE,911 TURBO S,3.8,Z,24,274
PORSCHE,911 TURBO S CABRIOLET,3.8,Z,24,274
PORSCHE,BOXSTER,2.7,Z,31,212
PORSCHE,BOXSTER,2.7,Z,29,228
PORSCHE,BOXSTER S,3.4,Z,29,225
PORSCHE,BOXSTER S,3.4,Z,27,239
PORSCHE,CAYENNE,3.6,Z,23,290
PORSCHE,CAYENNE,3.6,Z,21,313
PORSCHE,CAYENNE DIESEL (modified),3,D,28,277
PORSCHE,CAYENNE GTS,4.8,Z,20,338
PORSCHE,CAYENNE S,4.8,Z,21,310
PORSCHE,CAYENNE S HYBRID,3,Z,26,251
PORSCHE,CAYENNE TURBO,4.8,Z,20,326
PORSCHE,CAYENNE TURBO S,4.8,Z,19,358
PORSCHE,CAYMAN,2.7,Z,31,212
PORSCHE,CAYMAN,2.7,Z,29,228
PORSCHE,CAYMAN S,3.4,Z,29,225
PORSCHE,CAYMAN S,3.4,Z,27,239
PORSCHE,PANAMERA,3.6,Z,26,251
PORSCHE,PANAMERA 4,3.6,Z,25,255
PORSCHE,PANAMERA 4S,3,Z,25,260
PORSCHE,PANAMERA 4S EXECUTIVE,3,Z,25,264
PORSCHE,PANAMERA GTS,4.8,Z,22,292
PORSCHE,PANAMERA S,3,Z,25,260
PORSCHE,PANAMERA TURBO,4.8,Z,22,294
PORSCHE,PANAMERA TURBO EXECUTIVE,4.8,Z,22,297
RAM,1500 (MDS),5.7,X,19,340
RAM,1500 (MDS),5.7,X,21,313
RAM,1500 4X4 (MDS),5.7,X,18,354
RAM,1500 4X4 (MDS),5.7,X,20,324
RAM,1500 4X4 DIESEL,3,D,27,286
RAM,1500 4X4 FFV,3.6,X,22,290
RAM,1500 4X4 FFV,3.6,E,16,285
RAM,1500 DIESEL,3,D,28,275
RAM,1500 FFV,3.6,X,24,274
RAM,1500 FFV,3.6,E,17,269
RAM,1500 HFE,3.6,X,25,260
RAM,CARGO VAN FFV,3.6,X,25,262
RAM,CARGO VAN FFV,3.6,E,18,254
ROLLS-ROYCE,GHOST,6.6,Z,18,368
ROLLS-ROYCE,GHOST EWB,6.6,Z,18,368
ROLLS-ROYCE,PHANTOM,6.7,Z,17,393
ROLLS-ROYCE,PHANTOM COUPE,6.7,Z,17,393
ROLLS-ROYCE,PHANTOM DROPHEAD COUPE,6.7,Z,17,393
ROLLS-ROYCE,PHANTOM EWB,6.7,Z,17,393
ROLLS-ROYCE,WRAITH,6.6,Z,18,359
SCION,FR-S,2,Z,34,193
SCION,FR-S,2,Z,30,218
SCION,iQ,1.3,X,46,143
SCION,tC,2.5,X,31,207
SCION,tC,2.5,X,31,207
SCION,xB,2.4,X,29,228
SCION,xB,2.4,X,29,228
SCION,xD,1.8,X,35,184
SCION,xD,1.8,X,36,182
SMART,FORTWO CABRIOLET,1,Z,44,147
SMART,FORTWO COUPE,1,Z,44,147
SRT,VIPER COUPE,8.4,Z,17,389
SRT,VIPER GTS COUPE,8.4,Z,17,389
SUBARU,BRZ,2,Z,33,196
SUBARU,BRZ,2,Z,29,221
SUBARU,FORESTER AWD,2,Z,30,218
SUBARU,FORESTER AWD,2.5,X,33,198
SUBARU,FORESTER AWD,2.5,X,29,223
SUBARU,IMPREZA AWD,2,X,36,179
SUBARU,IMPREZA AWD,2,X,33,196
SUBARU,IMPREZA AWD,2.5,Z,25,258
SUBARU,IMPREZA AWD,2.5,Z,23,288
SUBARU,IMPREZA WAGON AWD,2,X,36,179
SUBARU,IMPREZA WAGON AWD,2,X,33,196
SUBARU,IMPREZA WAGON AWD,2.5,Z,25,258
SUBARU,IMPREZA WAGON AWD,2.5,Z,23,288
SUBARU,LEGACY AWD,2.5,X,33,198
SUBARU,LEGACY AWD,2.5,X,29,228
SUBARU,LEGACY AWD,3.6,X,24,267
SUBARU,OUTBACK AWD,2.5,X,31,207
SUBARU,OUTBACK AWD,2.5,X,29,225
SUBARU,OUTBACK AWD,3.6,X,24,269
SUBARU,TRIBECA AWD,3.6,X,22,301
SUBARU,XV CROSSTREK AWD,2,X,33,196
SUBARU,XV CROSSTREK AWD,2,X,31,212
SUBARU,XV CROSSTREK HYBRID AWD,2,X,37,177
TOYOTA,4RUNNER (Part-Time 4WD),4,X,22,297
TOYOTA,4RUNNER 4WD,4,X,22,297
TOYOTA,AVALON,3.5,X,29,221
TOYOTA,CAMRY,2.5,X,34,189
TOYOTA,CAMRY,3.5,X,29,221
TOYOTA,CAMRY HYBRID LE,2.5,X,50,131
TOYOTA,CAMRY HYBRID XLE/SE,2.5,X,47,138
TOYOTA,COROLLA,1.8,X,37,177
TOYOTA,COROLLA,1.8,X,39,168
TOYOTA,COROLLA,1.8,X,40,163
TOYOTA,COROLLA,1.8,X,38,170
TOYOTA,COROLLA LE ECO (1-mode),1.8,X,42,156
TOYOTA,COROLLA LE ECO (2-mode),1.8,X,41,159
TOYOTA,COROLLA MATRIX,1.8,X,33,196
TOYOTA,COROLLA MATRIX,1.8,X,34,189
TOYOTA,FJ CRUISER 4WD,4,X,22,297
TOYOTA,FJ CRUISER 4WD,4,X,20,320
TOYOTA,HIGHLANDER,2.7,X,27,237
TOYOTA,HIGHLANDER,3.5,X,25,258
TOYOTA,HIGHLANDER AWD,3.5,X,25,264
TOYOTA,HIGHLANDER HYBRID AWD,3.5,X,34,191
TOYOTA,HIGHLANDER HYBRID AWD LE,3.5,X,34,189
TOYOTA,PRIUS,1.8,X,59,110
TOYOTA,PRIUS c,1.5,X,60,108
TOYOTA,PRIUS v,1.8,X,51,126
TOYOTA,RAV4,2.5,X,32,205
TOYOTA,RAV4 AWD,2.5,X,30,216
TOYOTA,RAV4 LIMITED AWD,2.5,X,30,218
TOYOTA,SEQUOIA 4WD,5.7,X,17,384
